State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
1,47,AL,Dallas County,"10,914","8,700","13,128",29.5,23.5,35.5,"3,924","2,996","4,852",45.4,34.7,56.1,"2,843","2,163","3,523",43.7,33.3,54.1,"33,159","29,451","36,867",.,.,.,.,.,.
1,49,AL,DeKalb County,"13,783","11,773","15,793",19.4,16.6,22.2,"4,981","4,091","5,871",29.3,24.1,34.5,"3,104","2,354","3,854",24,18.2,29.8,"45,062","40,409","49,715",.,.,.,.,.,.
1,51,AL,Elmore County,"10,138","8,210","12,066",12,9.7,14.3,"3,347","2,459","4,235",17.3,12.7,21.9,"2,418","1,720","3,116",16.6,11.8,21.4,"63,147","56,748","69,546",.,.,.,.,.,.
1,53,AL,Escambia County,"8,147","6,711","9,583",23.8,19.6,28,"2,445","1,873","3,017",29.9,22.9,36.9,"1,817","1,373","2,261",30.2,22.8,37.6,"40,506","36,159","44,853",.,.,.,.,.,.
1,55,AL,Etowah County,"17,605","14,857","20,353",17.4,14.7,20.1,"5,464","4,185","6,743",25,19.2,30.8,"3,841","2,881","4,801",24,18,30,"46,308","42,549","50,067",.,.,.,.,.,.
1,57,AL,Fayette County,"3,123","2,513","3,733",19.6,15.8,23.4,901,663,"1,139",26.5,19.5,33.5,633,450,816,24.9,17.7,32.1,"46,122","40,615","51,629",.,.,.,.,.,.
1,59,AL,Franklin County,"5,995","4,822","7,168",18.9,15.2,22.6,"1,968","1,470","2,466",25.1,18.7,31.5,"1,379",999,"1,759",24.2,17.5,30.9,"45,440","40,313","50,567",.,.,.,.,.,.
1,61,AL,Geneva County,"5,566","4,539","6,593",21.1,17.2,25,"1,672","1,236","2,108",29.1,21.5,36.7,"1,179",844,"1,514",27.2,19.5,34.9,"43,206","38,206","48,206",.,.,.,.,.,.
1,63,AL,Greene County,"2,520","1,994","3,046",33.2,26.3,40.1,848,642,"1,054",51.8,39.2,64.4,595,433,757,49.1,35.7,62.5,"30,225","26,496","33,954",.,.,.,.,.,.
1,65,AL,Hale County,"3,221","2,452","3,990",22.1,16.8,27.4,"1,128",800,"1,456",32.6,23.1,42.1,807,557,"1,057",31.9,22,41.8,"41,995","37,073","46,917",.,.,.,.,.,.
1,67,AL,Henry County,"2,694","2,063","3,325",15.6,11.9,19.3,867,617,"1,117",24.6,17.5,31.7,621,426,816,23.3,16,30.6,"56,389","51,555","61,223",.,.,.,.,.,.
1,69,AL,Houston County,"20,210","18,330","22,090",19.1,17.3,20.9,"6,511","5,499","7,523",27.1,22.9,31.3,"4,743","3,977","5,509",27,22.6,31.4,"48,701","45,238","52,164",.,.,.,.,.,.
1,71,AL,Jackson County,"9,851","8,426","11,276",18.9,16.2,21.6,"2,906","2,349","3,463",27,21.8,32.2,"2,082","1,656","2,508",25.9,20.6,31.2,"46,998","42,418","51,578",.,.,.,.,.,.
1,73,AL,Jefferson County,"110,131","101,051","119,211",16.9,15.5,18.3,"35,575","31,394","39,756",23.6,20.8,26.4,"26,377","23,115","29,639",23.9,20.9,26.9,"55,210","53,213","57,207",.,.,.,.,.,.
